id,name,screen_name,text,created_at,retweet_count,favorite_count,hashtags
1601954740950433793,시전상인,sijunsangin,RT @ohs688: @Xshathapavan 해당 유물에 표현된 인물들의 의복도 좌임 방식의 상의(저고리)와 바지의 조합이 고대 한복의 구조와 일치하죠 ㅎㅎ 그 외에도 노용 올의 흉노 무덤에서 출토된 챙모자와 똑같은 유물이 신라 고분에서 발견되기도…,2022-12-11 14:59:07+00:00,1,0,[]
1601954691088551938,박미나,bmn0624,"전신샷
소통
산본
놀기도좋은계절
시드니
말솜씨
고운올한복
추억은방울방울 https://t.co/EIPoe4ybbG",2022-12-11 14:58:55+00:00,0,0,[]
1601954425534181376,우유,woouu_,하아 저 진짜 미샤 한복입은 것도 너무 좋앗구요.. 바니보이랑 네네... 그리고 윤차현 브라자  아니아니 웨어러블이요.. 네네,2022-12-11 14:57:52+00:00,0,0,[]
1601954345905713152,ienヾ🐻‍❄️,woomashiru,"RT @C1OV9R325: 한복 입은 날 
머리색이랑 한복 너무 잘어울려 https://t.co/MphWlQi8Hl",2022-12-11 14:57:33+00:00,5,0,[]
1601954186895265792,Mei 🍀💜 (REST),ganbarimashiho,"RT @C1OV9R325: 한복 입은 날 
머리색이랑 한복 너무 잘어울려 https://t.co/MphWlQi8Hl",2022-12-11 14:56:55+00:00,5,0,[]
1601954058973351937,…,oocoohho,@xxx_xx122 @pqpqwv @m_d_rong @qwertygdnA 저한복으로바꿀게욥,2022-12-11 14:56:25+00:00,0,0,[]
1601953959203467264,졸업시켜줘🎗,mincho1104,"RT @josep926: 실친 오락관 [키워드로 캐디짜기]
마감 12/31 까지
참가자: 진홍/소로/현

*분위기
-음산
-뵤

*의상
-고스계열 락
-한복

*특징
-점
-가면 혹은 탈

*메인컬러
-핫핑크
-핑크

*성별
-진홍, 소로 -&gt;남캐…",2022-12-11 14:56:01+00:00,1,0,[]
1601953915108732929,이령,iryung10,"RT @m8GMElZICWId8o3: 순수의 시대는 한복도 한복이지만 귀걸이랑 머리 스타일이 여말선초 분위기에 한몫하는듯 
특히 정씨와 민씨(원경왕후)는 이질감이 안느껴짐;; https://t.co/gm6SlBupXq",2022-12-11 14:55:50+00:00,155,0,[]
1601953877355810821,mashpylove,mashpylove,"RT @C1OV9R325: 한복 입은 날 
머리색이랑 한복 너무 잘어울려 https://t.co/MphWlQi8Hl",2022-12-11 14:55:41+00:00,5,0,[]
1601953861337747459,tktmashiho🍀❦ (マシホ待ってるよ、、),adorbsmashiho,"RT @C1OV9R325: 한복 입은 날 
머리색이랑 한복 너무 잘어울려 https://t.co/MphWlQi8Hl",2022-12-11 14:55:38+00:00,5,0,[]
1601953758581518337,ㅇ,kdollxa,"RT @ung___100: #モブサイコ100 
모브랑 리츠 한복 입혀달라셔서... https://t.co/bYNKOEzkr3",2022-12-11 14:55:13+00:00,1650,0,"[{'text': 'モブサイコ100', 'indices': [15, 24]}]"
1601953745583370240,현,josep926,"실친 오락관 [키워드로 캐디짜기]
마감 12/31 까지
참가자: 진홍/소로/현

*분위기
-음산
-뵤

*의상
-고스계열 락
-한복

*특징
-점
-가면 혹은 탈

*메인컬러
-핫핑크
-핑크

*성별
-진홍, 소로 -&gt;남캐
-현 -&gt;여캐",2022-12-11 14:55:10+00:00,1,1,[]
1601953616260399105,아지 최고,dingdi__,"RT @C1OV9R325: 한복 입은 날 
머리색이랑 한복 너무 잘어울려 https://t.co/MphWlQi8Hl",2022-12-11 14:54:39+00:00,5,0,[]
1601953588879949824,pi..🍀,C1OV9R325,"한복 입은 날 
머리색이랑 한복 너무 잘어울려 https://t.co/MphWlQi8Hl",2022-12-11 14:54:33+00:00,5,9,[]
1601953509221490688,라도,5X0126,RT @chaehon_e: 200130 팔로우 애쉬 한복 채형원 진짜 개미친재질,2022-12-11 14:54:14+00:00,12,0,[]
