id,name,screen_name,text,created_at,retweet_count,favorite_count,hashtags
1569340045450166273,junjunkoalalala,junjunkyuyaaaa,"RT @ygtreasuremaker: [#FOR_TREASUREMAKER]

🔔 띵동 - 트레저 위버스와 글로벌 멤버십에 한복 트레저가 도착했습니다 💌
지금 바로 확인해 보세요!

▶️ https://t.co/Mp3YtYtbbB

#TREASURE…",2022-09-12 14:59:58+00:00,12131,0,"[{'text': 'FOR_TREASUREMAKER', 'indices': [22, 40]}, {'text': 'TREASURE', 'indices': [129, 138]}]"
1569340016190685184,삡,olva_Ls,미즈에나 한복 샤를 대박임 https://t.co/JNASi5YnuS,2022-09-12 14:59:51+00:00,0,0,[]
1569340007290372097,nathanael,nanatpentol,"RT @TRENDZ_OFFCL: [#윤우]

추석엔 한복사진이지🎁 ver.4
다들 해피추석 보냈나요~?
마지막까지 한복 사진 챙겨주는 사람 어떤데~🖤

#FROM_TRENDZ #TO_FRIENDZ #TRENDZ #트렌드지 #즐추 #프렌드지 #보고싶어…",2022-09-12 14:59:49+00:00,49,0,"[{'text': '윤우', 'indices': [19, 22]}, {'text': 'FROM_TRENDZ', 'indices': [85, 97]}, {'text': 'TO_FRIENDZ', 'indices': [98, 109]}, {'text': 'TRENDZ', 'indices': [110, 117]}, {'text': '트렌드지', 'indices': [118, 123]}, {'text': '즐추', 'indices': [124, 127]}, {'text': '프렌드지', 'indices': [128, 133]}, {'text': '보고싶어', 'indices': [134, 139]}]"
1569339994019614726,톨,stay_acorn,"RT @nugunim: 슼둥오락관 ㄹㅇ 개욳격던 점
안 그래도 개량한복이라 생략된 겹 많아서 개얇은데 단체로 달랑 빤스 한장만 입고 냅다 구르는 바람에 뭐 할 때마다 시스루 야노쑈 돼서 스키주 죤나 굴러다님ㅅㅂ 아니 보통 활동적인 녹화할 땐 면티랑…",2022-09-12 14:59:46+00:00,102,0,[]
1569339991951835137,:),T_01234567899,RT @MOON1SHOT: 근데 재현이도 콩이한테 한복 입혔을까,2022-09-12 14:59:45+00:00,14,0,[]
1569339976558723072,햄뜽이💙,leejy06,RT @iS2puppy: 한복성훈💕 https://t.co/Ba1XUmhJS6,2022-09-12 14:59:41+00:00,114,0,[]
1569339969034137601,소비러🌟🦋,SO_BEE_NOVEL,RT @PP_zip: 아서레이 한복인데... 아직 연휴 안 끝났으니까 된 거겠지... https://t.co/7xVdF14yVE,2022-09-12 14:59:40+00:00,13,0,[]
1569339933449658370,rin. waiting for 🍀🦊,hamadarto,"RT @ygtreasuremaker: [#FOR_TREASUREMAKER]

🔔 띵동 - 트레저 위버스와 글로벌 멤버십에 한복 트레저가 도착했습니다 💌
지금 바로 확인해 보세요!

▶️ https://t.co/Mp3YtYtbbB

#TREASURE…",2022-09-12 14:59:31+00:00,12131,0,"[{'text': 'FOR_TREASUREMAKER', 'indices': [22, 40]}, {'text': 'TREASURE', 'indices': [129, 138]}]"
1569339912394276864,ً,THVSK95,"RT @ygtreasuremaker: [#FOR_TREASUREMAKER]

🔔 띵동 - 트레저 위버스와 글로벌 멤버십에 한복 트레저가 도착했습니다 💌
지금 바로 확인해 보세요!

▶️ https://t.co/Mp3YtYtbbB

#TREASURE…",2022-09-12 14:59:26+00:00,12131,0,"[{'text': 'FOR_TREASUREMAKER', 'indices': [22, 40]}, {'text': 'TREASURE', 'indices': [129, 138]}]"
1569339900092350464,기력없는 콩,NHY_S2,RT @nasinatsi: 은소로작가님 신작 일러 넘 한국풍이라 좋다 ㅠ 주인공들이 입고있는 한복이 원삼이랑 당의임ㅠㅠ 컬러도그렇고 디자인도 넘 예쁨 ㅠㅠ 무료화 찍먹해보고있는데 재밋어... https://t.co/43uPszD3wL,2022-09-12 14:59:23+00:00,76,0,[]
1569339894140387328,kara¹²⁷ Whisper,dream4evrhak,"RT @OmegaX_members: [#OX]

올 해 마지막 한복🫶🏻

#OMEGA_X #오메가엑스
#정훈 #JUNGHOON https://t.co/JZcM4BslEs",2022-09-12 14:59:22+00:00,189,0,"[{'text': 'OX', 'indices': [21, 24]}, {'text': 'OMEGA_X', 'indices': [41, 49]}, {'text': '오메가엑스', 'indices': [50, 56]}, {'text': '정훈', 'indices': [57, 60]}, {'text': 'JUNGHOON', 'indices': [61, 70]}]"
1569339874876231683,j. // STREAM PARADOXXX INVASION //,kungyazmoments,RT @Byeol_1208: [네이버포스트] 한복 성훈 🫶🏻 (2/2) https://t.co/j71no0h2m9,2022-09-12 14:59:17+00:00,12,0,[]
1569339853585928192,야옹🌻,yjungw_luv,RT @dobooboy: 한복입은 정원이🤍 https://t.co/m0l6Nxmvf6,2022-09-12 14:59:12+00:00,133,0,[]
1569339844555591681,🌌🌌,gm_rnm,"RT @Amita81: 한복 댕기머리하고 즐거워보이는 메이링이 너무너무 귀여웠어요...오랜만에 그림그려서 버벅댔지만 재밌었습니다ㅠ///ㅠ
연휴가 가는 게 아쉽네요ㅠ 남은 한 주도 화이팅/// https://t.co/j7pIVUCzKH",2022-09-12 14:59:10+00:00,41,0,[]
1569339842290679810,j. // STREAM PARADOXXX INVASION //,kungyazmoments,RT @Byeol_1208: [네이버포스트] 한복 성훈 🫶🏻 (1/2) https://t.co/0IDKTpvSvV,2022-09-12 14:59:09+00:00,76,0,[]
1569339841170796544,ari ·͜·,odevoire,"RT @TRENDZ_OFFCL: [#윤우]

추석엔 한복사진이지🎁 ver.4
다들 해피추석 보냈나요~?
마지막까지 한복 사진 챙겨주는 사람 어떤데~🖤

#FROM_TRENDZ #TO_FRIENDZ #TRENDZ #트렌드지 #즐추 #프렌드지 #보고싶어…",2022-09-12 14:59:09+00:00,49,0,"[{'text': '윤우', 'indices': [19, 22]}, {'text': 'FROM_TRENDZ', 'indices': [85, 97]}, {'text': 'TO_FRIENDZ', 'indices': [98, 109]}, {'text': 'TRENDZ', 'indices': [110, 117]}, {'text': '트렌드지', 'indices': [118, 123]}, {'text': '즐추', 'indices': [124, 127]}, {'text': '프렌드지', 'indices': [128, 133]}, {'text': '보고싶어', 'indices': [134, 139]}]"
1569339835500081154,고드름,godeuleum17,"RT @Padeume: 가수 송가인, 단아한 한복자태 과시 물오른 미모
https://t.co/7fkXdCA2pB",2022-09-12 14:59:08+00:00,12,0,[]
1569339825752539137,Gaemi(개미),gaemi_gigi,"사실 중원이니까 중추절로 해서 월병을 만들까 했지만…
청명이에게 송편을 만들게 해보고 싶었습니다ㅎ
어릴때 기억을 떠올리며..(((겸사겸사 한복도 입혀보고 크흠!",2022-09-12 14:59:06+00:00,0,0,[]
1569339794702082050,고드름,godeuleum17,"RT @Padeume: 송가인, 독보적인 한복 자태…미모 성수기 [셀럽샷]
https://t.co/UNDn29scBa",2022-09-12 14:58:58+00:00,20,0,[]
