id,name,screen_name,text,created_at,retweet_count,favorite_count,hashtags
1627684498002558982,루룰👹🖤🐑,rurull4,"RT @wa_gonbang: 그니까 이손으로
불쇼해서눈썹태워먹고종갓집장남에180에야구농구축구했고이과에수시로붙었고잘생겼고사립고심화반나왔고여동생과어머니허락받고옷입고3개국어하고인싸에잘생겼고유교에핸드크림발라서손관리하고한복입고제사10번지내고성가대소라노했었고좋…",2023-02-20 14:59:59+00:00,187,0,[]
1627684209874857987,S,tel67715356,RT @muun_nx: 하한복보고싶어,2023-02-20 14:58:51+00:00,1,0,[]
1627684125519007745,금귤,kumquat_219,"외관 어캐짜지
한복 넘 오랜만이다",2023-02-20 14:58:31+00:00,0,0,[]
1627684092077813761,뭉나,muun_nx,하한복보고싶어,2023-02-20 14:58:23+00:00,1,2,[]
1627684062696448008,영기,dudrl1,"임밍아웃
멜돔
스크램블
한복모델
배불러요
마냥좋은우리
예뜰 https://t.co/aSO7imilJq",2023-02-20 14:58:16+00:00,0,0,[]
1627683589138817025,토기🥟,tokki_1000zsun,RT @Yeonrang__52: 한복 전체샷 (존잘님들 자료 여기 있어요) https://t.co/AgQgWBdyAH,2023-02-20 14:56:23+00:00,9,0,[]
1627683472021270537,소라🥟,So_La_ppg,RT @Yeonrang__52: 한복 전체샷 (존잘님들 자료 여기 있어요) https://t.co/AgQgWBdyAH,2023-02-20 14:55:55+00:00,9,0,[]
1627683379851448331,천천히 떼굴떼굴 나옹이,naonggg0_0,셔누 브이로그 찍었던 날이 인싸오빠 한복 만드는 날이였나부다…꽤 됐네,2023-02-20 14:55:33+00:00,0,1,[]
1627683302890156038,충격혁나모롤실존🥟,jjung_nae,RT @Yeonrang__52: 한복 전체샷 (존잘님들 자료 여기 있어요) https://t.co/AgQgWBdyAH,2023-02-20 14:55:14+00:00,9,0,[]
1627683208463798272,iemas,iemas_282,"RT @corone_p: #suha_art 
사펑+한복+병지컷+땡글안경
수하 취향 버무려봤어요. https://t.co/i2WDXgDB8C",2023-02-20 14:54:52+00:00,399,0,"[{'text': 'suha_art', 'indices': [14, 23]}]"
1627682973566009344,darkmoon_3,darkmoon39,RT @sooeo1227: 나도 한복포카 https://t.co/1qkxzNx7jU,2023-02-20 14:53:56+00:00,2,0,[]
1627682426767155200,청애,Kim_chung_ae,우리나라 한복이랑은 또 다른 느낌이라 좋았다...이제 나중에 중국가서 한푸체험이나 치파오 체험만 해보면 아시아 삼대장&lt;내기준 옷 다 입는거임... https://t.co/M5kJK10hhc,2023-02-20 14:51:46+00:00,0,0,[]
1627682369149997056,✧변방의미소녀✧,Dali_jjari,"RT @namsang2233: 한국인이 중국풍을 지우려고 동양풍이라는 단어를 창조했다는 인식이 있다고 들었는데.. 단어 자체의 옳고 그름과는 별개로, 동양풍은 그냥 예전부터 자연스럽게 쓰이던거임. 지금도 카카오페이지나 레진 보면 한복 입히고 시대도…",2023-02-20 14:51:32+00:00,13,0,[]
1627681921080885250,유메,kimialswn,"아 도화가 스샷 너무 없는데
내일 한복 스샷찍고 트친소 만들어야겠다",2023-02-20 14:49:45+00:00,0,1,[]
1627681743733157888,에우리디𝗥𝗜𝗠,EURYDIRIM,RT @rurulurala: 기뮤나씨가 한복 입은 거 처음 봐요 https://t.co/p4CDdNegH7,2023-02-20 14:49:03+00:00,1,0,[]
1627681684966735875,레레,mimmaya_,"데못죽 포카
담님 겨울 포카 - 1.4
들님 여름포카 - 0.7
들님 한복포카 - 1.0
사거님 스포츠 포카 - 1.2
실핀아현 리뉴얼-0.1

일괄로 원가양도합니다!
한복 포카 실핀 제외 각 세트 구매 가능
다수 우대",2023-02-20 14:48:49+00:00,0,0,[]
1627681636954546177,다령😷,pourquoi_rred,"RT @hanbok_linda: 8년째 한복생활에,
방 하나를 한복방으로 쓸 만큼
한복에 진심인데…
방송국이시여!!! 왜 저는 안 부르시나이까?
더 열심히 입고 다녀야겠다 https://t.co/ofyAChi4g4",2023-02-20 14:48:37+00:00,56,0,[]
1627681254828277761,SHU,4Wnl01,@pildu_puding 하지만 필두님은 정말 짱인걸.. 필두님 디자인이라 외투벗으면 개량한복치마느낌 어쩌고로 그리고 있어요 https://t.co/IQjcfJvAYf,2023-02-20 14:47:06+00:00,0,0,[]
1627680938359668736,🥟당신에게따봉을날리는구구🥟,hyehyehyehe,RT @Yeonrang__52: 한복 전체샷 (존잘님들 자료 여기 있어요) https://t.co/AgQgWBdyAH,2023-02-20 14:45:51+00:00,9,0,[]
1627680575611109382,혦,gimhyel87271377,"이거 사실 옆에 구피네 나기사 맞음 
근데 한복입힌건 걍 장발보면 한복 입혀보고 싶은 내 욕망..
#나기사 #구피네 #앙스타 #그림 #낙서 https://t.co/fKPFv8BvEY",2023-02-20 14:44:24+00:00,0,1,"[{'text': '나기사', 'indices': [55, 59]}, {'text': '구피네', 'indices': [60, 64]}, {'text': '앙스타', 'indices': [65, 69]}, {'text': '그림', 'indices': [70, 73]}, {'text': '낙서', 'indices': [74, 77]}]"
1627680335420088320,날아다니다,flyingskyyoyo49,"RT @amnseoul: '기미가요'에 이어 공기업 근무복 '왜색 한복' 논란 https://t.co/4mBgwsykhU
이재명 “서울 한복판 일왕 생일 행사서 기미가요 연주..尹정권 대일 굴종외교 상징”
'한국전통문화전당' 직원 근무복 ""일본 주방…",2023-02-20 14:43:27+00:00,32,0,[]
